Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 12:47:04.336,eb:33:2e:f9:57:b5, 2015-01-01 00:33:08.930,0.071,-0.282,0.98,-19.653,-2.136,52.063, , , , , , ,0.253,-0.659,-112.626
 12:47:04.336,eb:33:2e:f9:57:b5, 2015-01-01 00:33:08.930,0.019,-0.236,0.988,-23.254,-3.052,53.101, , , , , , ,0.137,-0.676,-112.363
 12:47:04.336,eb:33:2e:f9:57:b5, 2015-01-01 00:33:08.930,0.016,-0.186,0.955,-27.344,-9.888,48.889, , , , , , ,0.005,-0.709,-112.11
 12:47:04.336,eb:33:2e:f9:57:b5, 2015-01-01 00:33:08.930,0.011,-0.149,0.974,-32.654,-13.611,47.058, , , , , , ,-0.143,-0.769,-111.868
 12:47:04.336,eb:33:2e:f9:57:b5, 2015-01-01 00:33:08.930,0.005,-0.065,0.971,-39.062,-17.334,45.471, , , , , , ,-0.33,-0.846,-111.638
 12:47:04.336,eb:33:2e:f9:57:b5, 2015-01-01 00:33:08.930,-0.035,0.007,1.001,-46.509,-20.325,41.443, , , , , , ,-0.555,-0.945,-111.423
 12:47:04.336,eb:33:2e:f9:57:b5, 2015-01-01 00:33:08.930,-0.062,0.049,0.993,-53.772,-24.597,37.903, , , , , , ,-0.813,-1.055,-111.226
 12:47:04.336,eb:33:2e:f9:57:b5, 2015-01-01 00:33:08.930,-0.082,0.087,1.001,-60.852,-27.039,36.194, , , , , , ,-1.11,-1.187,-111.039
 12:47:04.358,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.099,0.115,1.005,-66.589,-30.029,34.363, , , , , , ,-1.434,-1.329,-110.863
 12:47:04.358,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.101,0.134,1.021,-70.74,-33.691,34.058, , , , , , ,-1.791,-1.483,-110.687
 12:47:04.358,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.125,0.145,1.067,-73.608,-34.546,32.043, , , , , , ,-2.159,-1.648,-110.517
 12:47:04.358,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.128,0.154,1.07,-74.707,-34.424,30.273, , , , , , ,-2.532,-1.818,-110.358
 12:47:04.358,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.132,0.183,1.104,-74.402,-31.433,28.564, , , , , , ,-2.911,-1.972,-110.204
 12:47:04.358,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.148,0.217,1.129,-72.937,-27.344,27.405, , , , , , ,-3.29,-2.109,-110.056
 12:47:04.358,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.165,0.241,1.134,-70.679,-23.499,26.855, , , , , , ,-3.653,-2.23,-109.913
 12:47:04.358,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.174,0.264,1.128,-67.81,-20.02,26.855, , , , , , ,-4.005,-2.324,-109.775
 12:47:04.402,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.182,0.295,1.123,-64.819,-17.029,27.466, , , , , , ,-4.345,-2.406,-109.633
 12:47:04.402,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.192,0.313,1.13,-62.073,-13.794,28.687, , , , , , ,-4.669,-2.472,-109.484
 12:47:04.402,eb:33:2e:f9:57:b5, 2015-01-01 00:33:09.245,-0.201,0.34,1.146,-59.998,-9.521,30.334, , , , , , ,-4.977,-2.516,-109.33
