Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°)
 15:29:10.431,eb:33:2e:f9:57:b5, 2085-97-42 254:162:03:2740,-0.28,0.499,1.555,269.104,-19.836,-13.062,-8.767,-0.747,-117.762
 15:29:10.431,eb:33:2e:f9:57:b5, 2085-97-53 253:178:03:2061,-0.316,0.496,1.114,230.957,-22.766,-53.955,-6.251,-1.049,-118.07
 15:29:10.431,eb:33:2e:f9:57:b5, 2085-97-215 254:02:00:2018,0.053,0.3,0.97,203.247,-17.395,-86.182,-4.098,-1.291,-118.779
 15:29:10.431,eb:33:2e:f9:57:b5, 2085-97-178 01:171:01:2341,0.289,-0.251,1.017,196.35,-17.334,-80.872,-2.082,-1.549,-119.625
 15:29:10.462,eb:33:2e:f9:57:b5, 2085-97-47 07:84:06:3453,0.39,-0.644,1.022,143.677,-53.833,-22.583,-0.39,-1.928,-120.218
 15:29:10.462,eb:33:2e:f9:57:b5, 2085-97-40 255:193:04:1875,-0.399,0.927,1.667,88.562,46.448,6.836,0.736,-2.005,-120.295
 15:29:10.462,eb:33:2e:f9:57:b5, 2085-97-128 252:49:02:1481,-0.419,0.583,0.705,37.842,62.134,8.606,1.307,-1.346,-120.157
 15:29:10.462,eb:33:2e:f9:57:b5, 2085-97-220 253:27:01:1616,0.021,-0.108,0.771,32.654,19.47,-5.92,1.642,-0.978,-120.234
 15:29:10.492,eb:33:2e:f9:57:b5, 2085-97-128 00:242:00:2153,-0.018,0.232,0.988,20.63,-4.517,-13.367,1.917,-0.983,-120.333
 15:29:10.492,eb:33:2e:f9:57:b5, 2085-97-48 255:107:00:1858,-0.183,0.042,0.985,14.038,17.578,-3.601,2.082,-0.884,-120.405
 15:29:10.493,eb:33:2e:f9:57:b5, 2085-97-194 254:123:00:1869,-0.068,0.045,0.876,10.376,7.202,-5.31,2.203,-0.736,-120.443
 15:29:10.493,eb:33:2e:f9:57:b5, 2085-97-181 255:70:00:2090,-0.038,0.053,0.987,7.812,-2.869,-7.507,2.296,-0.742,-120.515
 15:29:10.551,eb:33:2e:f9:57:b5, 2085-97-160 255:12:00:2110,-0.069,0.023,1.024,6.836,-2.93,-6.775,2.373,-0.764,-120.586
 15:29:10.551,eb:33:2e:f9:57:b5, 2085-97-99 255:10:00:2011,-0.065,0.002,1.004,7.324,-5.615,-5.249,2.444,-0.802,-120.646
 15:29:10.551,eb:33:2e:f9:57:b5, 2085-97-174 255:65:00:2033,-0.011,0.016,0.978,8.179,-12.878,-5.554,2.527,-0.901,-120.701
 15:29:10.551,eb:33:2e:f9:57:b5, 2085-97-28 00:77:00:2118,0.025,0.041,1.011,7.08,-14.526,-5.31,2.604,-1.044,-120.762
 15:29:10.581,eb:33:2e:f9:57:b5, 2085-97-20 00:120:00:2071,0.009,0.04,1.034,5.493,-9.644,-3.54,2.67,-1.159,-120.811
 15:29:10.581,eb:33:2e:f9:57:b5, 2085-97-35 00:99:00:2072,0.03,0.05,1.006,3.601,-7.69,-2.38,2.714,-1.236,-120.839
