Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°)
 15:30:48.806,eb:33:2e:f9:57:b5, 2085-97-102 02:136:00:7447,0.105,0.229,2.786,284.729,82.642,-273.987,51.625,18.627,-69.554
 15:30:48.806,eb:33:2e:f9:57:b5, 2085-97-92 00:87:250:6472,0.079,-0.326,3.567,307.617,75.684,-299.438,54.168,21.44,-70.796
 15:30:48.806,eb:33:2e:f9:57:b5, 2085-97-142 00:175:246:5502,-0.058,-1.053,2.859,309.082,66.895,-265.869,56.832,24.17,-71.971
 15:30:48.806,eb:33:2e:f9:57:b5, 2085-97-182 254:79:246:5430,-0.168,-1.172,2.618,278.992,84.839,-191.711,59.496,26.466,-72.598
 15:30:48.837,eb:33:2e:f9:57:b5, 2085-97-163 254:156:245:5916,-0.128,-1.25,2.77,246.399,110.84,-126.038,62.144,28.301,-72.526
 15:30:48.837,eb:33:2e:f9:57:b5, 2085-97-239 255:55:245:6511,0.255,-1.322,3.022,222.229,147.4,-61.401,64.847,29.691,-71.691
 15:30:48.837,eb:33:2e:f9:57:b5, 2085-97-77 04:58:245:6935,0.789,-1.36,3.343,212.402,211.975,-8.118,67.874,30.712,-69.95
 15:30:48.837,eb:33:2e:f9:57:b5, 2085-97-202 07:138:246:6337,1.113,-1.272,3.287,218.506,260.62,14.893,71.351,31.52,-67.297
 15:30:48.866,eb:33:2e:f9:57:b5, 2085-97-123 09:172:247:5398,1.138,-1.108,2.852,235.352,250.61,3.357,75.157,32.206,-64.352
 15:30:48.866,eb:33:2e:f9:57:b5, 2085-97-244 07:106:247:4859,0.913,-1.005,2.487,246.765,177.673,-31.494,78.843,32.855,-61.941
 15:30:48.866,eb:33:2e:f9:57:b5, 2085-97-165 05:02:243:4939,0.56,-1.231,2.336,234.558,66.711,-75.012,81.942,33.624,-60.699
 15:30:48.866,eb:33:2e:f9:57:b5, 2085-97-107 03:34:237:5081,0.428,-2.046,2.551,201.721,-21.423,-88.928,84.084,34.503,-60.716
 15:30:48.955,eb:33:2e:f9:57:b5, 2085-97-244 03:98:235:3871,0.612,-2.541,2.27,142.151,-11.047,-42.236,85.573,35.162,-61.122
 15:30:48.955,eb:33:2e:f9:57:b5, 2085-97-237 04:166:236:1490,0.583,-2.503,1.363,42.603,75.073,49.5,86.688,35.123,-60.699
 15:30:48.955,eb:33:2e:f9:57:b5, 2085-97-96 05:234:239:-493,0.872,-2.267,0.124,-74.646,125.732,133.057,87.242,34.217,-59.326
