Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 13:13:10.108,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.62,0.181,1.339,256.287,21.79,-49.744, , , , , , ,19.495,2.384,-117.35
 13:13:10.108,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.781,0.513,1.006,256.042,3.784,-65.063, , , , , , ,20.77,2.538,-117.603
 13:13:10.109,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.833,0.508,0.566,247.131,-18.127,-84.351, , , , , , ,22.011,2.631,-117.977
 13:13:10.109,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.888,0.162,0.299,221.13,-29.907,-100.281, , , , , , ,23.148,2.692,-118.466
 13:13:10.109,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,1.044,-0.141,0.322,193.42,-35.583,-110.352, , , , , , ,24.142,2.752,-119.02
 13:13:10.109,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,1.105,-0.513,0.535,162.598,-31.555,-120.178, , , , , , ,24.994,2.834,-119.625
 13:13:10.109,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,1.019,-1.019,0.693,113.22,2.991,-125.977, , , , , , ,25.637,3.049,-120.207
 13:13:10.109,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.79,-2.12,0.493,50.171,51.88,-114.258, , , , , , ,25.988,3.455,-120.679
 13:13:10.154,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.862,-1.9,0.255,9.766,44.8,-87.952, , , , , , ,26.087,3.9,-121.003
 13:13:10.154,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.982,-1.469,0.389,-25.452,30.273,-74.707, , , , , , ,26.01,4.241,-121.278
 13:13:10.154,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,1.06,-1.786,0.114,-55.603,14.404,-66.284, , , , , , ,25.768,4.482,-121.547
 13:13:10.154,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,1.069,-1.698,-0.065,-76.538,2.625,-61.035, , , , , , ,25.4,4.653,-121.811
 13:13:10.154,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,1.031,-1.435,-0.008,-87.219,-15.259,-62.012, , , , , , ,24.955,4.746,-122.102
 13:13:10.154,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.971,-1.36,0.106,-90.027,-35.278,-67.2, , , , , , ,24.478,4.757,-122.459
 13:13:10.154,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.896,-1.373,0.086,-93.445,-54.138,-70.374, , , , , , ,23.983,4.686,-122.871
 13:13:10.154,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.808,-1.418,0.055,-101.379,-71.594,-69.946, , , , , , ,23.456,4.526,-123.322
 13:13:10.199,eb:33:2e:f9:57:b5, 2015-01-01 00:57:40.610,0.71,-1.466,0.143,-112.488,-86.731,-67.017, , , , , , ,22.879,4.29,-123.794
