Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 12:42:32.437,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.007,0.999,-0.183,-0.061,-0.244, , , , , , ,0.412,0.264,-107.985
 12:42:32.437,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.006,0.998,-0.244,-0.061,-0.183, , , , , , ,0.412,0.264,-107.985
 12:42:32.437,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.007,0.999,-0.305,-0.122,-0.183, , , , , , ,0.412,0.264,-107.985
 12:42:32.437,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.007,0.006,0.999,-0.305,-0.183,-0.122, , , , , , ,0.412,0.264,-107.985
 12:42:32.438,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.005,0.999,-0.305,-0.183,-0.122, , , , , , ,0.412,0.264,-107.985
 12:42:32.438,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.005,0.005,0.999,-0.305,-0.244,-0.183, , , , , , ,0.412,0.264,-107.985
 12:42:32.438,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.005,0.999,-0.366,-0.244,-0.183, , , , , , ,0.412,0.264,-107.985
 12:42:32.438,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.007,0.006,0.998,-0.305,-0.244,-0.183, , , , , , ,0.412,0.264,-107.985
 12:42:32.482,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.005,0.006,0.998,-0.366,-0.305,-0.183, , , , , , ,0.406,0.264,-107.985
 12:42:32.482,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.006,0.999,-0.366,-0.305,-0.183, , , , , , ,0.406,0.264,-107.985
 12:42:32.482,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.005,0.999,-0.305,-0.305,-0.122, , , , , , ,0.406,0.264,-107.985
 12:42:32.482,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.004,0.999,-0.244,-0.366,-0.122, , , , , , ,0.406,0.264,-107.985
 12:42:32.482,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.006,0.005,0.999,-0.183,-0.427,-0.122, , , , , , ,0.406,0.269,-107.985
 12:42:32.482,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.005,0.005,1,-0.244,-0.366,-0.183, , , , , , ,0.406,0.269,-107.985
 12:42:32.482,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.005,0.005,1,-0.244,-0.305,-0.183, , , , , , ,0.406,0.269,-107.985
 12:42:32.482,eb:33:2e:f9:57:b5, 2015-01-01 00:28:39.290,-0.004,0.005,1,-0.183,-0.305,-0.183, , , , , , ,0.406,0.269,-107.985
