Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 09:47:30.887,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,1.178,-1.296,0.352,38.818,16.785,-43.518, , , , , , ,10.657,8.152,-101.953
 09:47:30.889,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,1.124,-1.324,0.314,25.757,2.502,-60.791, , , , , , ,10.778,8.24,-102.211
 09:47:30.889,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,1.059,-1.366,0.372,12.268,-6.348,-77.148, , , , , , ,10.816,8.289,-102.568
 09:47:30.889,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.975,-1.405,0.428,-1.831,-9.094,-91.675, , , , , , ,10.767,8.322,-103.008
 09:47:30.889,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.881,-1.433,0.449,-16.113,-8.606,-104.004, , , , , , ,10.64,8.372,-103.508
 09:47:30.890,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.797,-1.447,0.436,-29.907,-7.996,-113.831, , , , , , ,10.437,8.432,-104.057
 09:47:30.890,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.722,-1.451,0.4,-42.603,-10.376,-121.094, , , , , , ,10.157,8.492,-104.656
 09:47:30.890,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.633,-1.447,0.372,-54.077,-15.686,-125.854, , , , , , ,9.811,8.525,-105.287
 09:47:30.890,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.532,-1.452,0.387,-64.453,-22.766,-127.502, , , , , , ,9.41,8.536,-105.941
 09:47:30.891,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.429,-1.46,0.432,-73.181,-29.785,-125.916, , , , , , ,8.965,8.503,-106.584
 09:47:30.891,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.336,-1.457,0.489,-80.139,-36.499,-121.46, , , , , , ,8.481,8.427,-107.227
 09:47:30.891,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.26,-1.429,0.553,-85.876,-43.762,-114.624, , , , , , ,7.965,8.306,-107.842
 09:47:30.891,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.188,-1.378,0.626,-90.637,-51.147,-106.201, , , , , , ,7.438,8.141,-108.424
 09:47:30.891,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.121,-1.31,0.692,-94.91,-58.96,-96.497, , , , , , ,6.894,7.921,-108.951
 09:47:30.891,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.06,-1.24,0.763,-98.938,-66.101,-85.876, , , , , , ,6.339,7.663,-109.44
 09:47:30.891,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.005,0.006,-1.166,0.845,-102.905,-72.144,-74.707, , , , , , ,5.768,7.35,-109.874
 09:47:30.911,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.031,-1.088,0.921,-106.14,-76.66,-63.232, , , , , , ,5.197,7.004,-110.253
 09:47:30.911,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.054,-1.005,0.989,-107.91,-80.627,-51.941, , , , , , ,4.62,6.636,-110.555
 09:47:30.911,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.067,-0.913,1.043,-107.971,-84.473,-41.321, , , , , , ,4.048,6.24,-110.814
 09:47:30.911,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.08,-0.812,1.084,-106.567,-88.684,-31.677, , , , , , ,3.483,5.806,-111.022
 09:47:30.911,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.097,-0.706,1.119,-104.309,-93.262,-23.499, , , , , , ,2.939,5.361,-111.182
 09:47:30.911,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.113,-0.611,1.158,-101.685,-97.961,-16.663, , , , , , ,2.411,4.883,-111.286
 09:47:30.911,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.137,-0.536,1.216,-98.572,-101.257,-10.925, , , , , , ,1.906,4.384,-111.368
 09:47:30.912,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.171,-0.47,1.269,-95.215,-103.394,-6.226, , , , , , ,1.406,3.867,-111.429
 09:47:30.978,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.194,-0.412,1.296,-92.224,-105.225,-2.441, , , , , , ,0.939,3.34,-111.462
 09:47:30.978,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.218,-0.354,1.321,-90.271,-106.201,0.366, , , , , , ,0.483,2.812,-111.451
 09:47:30.978,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.238,-0.278,1.352,-89.111,-105.835,2.502, , , , , , ,0.033,2.28,-111.445
 09:47:30.978,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.254,-0.217,1.384,-88.257,-103.943,3.174, , , , , , ,-0.412,1.747,-111.434
 09:47:30.978,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.26,-0.162,1.413,-87.28,-100.769,2.686, , , , , , ,-0.851,1.236,-111.412
 09:47:30.978,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.257,-0.114,1.433,-86.182,-96.13,1.282, , , , , , ,-1.285,0.747,-111.379
 09:47:30.978,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.262,-0.072,1.442,-85.327,-90.027,-1.038, , , , , , ,-1.714,0.286,-111.368
 09:47:30.979,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.278,-0.043,1.431,-84.839,-83.313,-4.089, , , , , , ,-2.153,-0.148,-111.374
 09:47:30.999,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.295,-0.027,1.414,-84.473,-76.538,-7.141, , , , , , ,-2.576,-0.549,-111.385
 09:47:30.999,eb:33:2e:f9:57:b5, 2015-01-01 00:36:03.340,-0.317,-0.009,1.396,-84.106,-70.007,-10.071, , , , , , ,-2.999,-0.912,-111.401
