Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 09:40:59.444,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.077,0.053,1.136,86.304,-0.488,-1.099, , , , , , ,7.064,2.631,-26.071
 09:40:59.444,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.071,0.061,1.155,89.233,-0.916,-0.488, , , , , , ,7.504,2.626,-26.093
 09:40:59.445,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.062,0.053,1.194,92.773,-0.488,0.244, , , , , , ,7.96,2.626,-26.093
 09:40:59.445,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.027,0.058,1.208,96.863,-0.305,0.61, , , , , , ,8.432,2.62,-26.087
 09:40:59.445,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.022,0.077,1.221,101.257,-0.122,0.305, , , , , , ,8.932,2.62,-26.087
 09:40:59.445,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.048,0.089,1.229,105.896,-0.488,0, , , , , , ,9.448,2.615,-26.104
 09:40:59.445,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.029,0.077,1.246,110.962,-1.16,0, , , , , , ,9.992,2.609,-26.104
 09:40:59.445,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.021,0.071,1.287,116.394,-0.488,0.061, , , , , , ,10.563,2.604,-26.104
 09:40:59.445,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.029,0.079,1.303,121.887,0.122,0, , , , , , ,11.162,2.604,-26.104
 09:40:59.445,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.045,0.073,1.286,127.93,0.305,0.061, , , , , , ,11.788,2.604,-26.12
 09:40:59.446,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.09,0.069,1.291,133.972,0.366,0.488, , , , , , ,12.448,2.609,-26.115
 09:40:59.446,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.119,0.061,1.28,140.137,-0.793,1.587, , , , , , ,13.134,2.604,-26.109
 09:40:59.446,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.127,0.062,1.29,145.569,-1.831,3.052, , , , , , ,13.854,2.593,-26.104
 09:40:59.446,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.096,0.074,1.328,151.123,-3.113,4.272, , , , , , ,14.595,2.576,-26.098
 09:40:59.446,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.084,0.085,1.332,158.142,-4.333,5.249, , , , , , ,15.375,2.549,-26.082
 09:40:59.446,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,-0.024,0.111,1.333,165.039,-7.019,5.066, , , , , , ,16.188,2.516,-26.065
 09:40:59.534,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,0.076,0.128,1.366,171.936,-8.057,3.967, , , , , , ,17.034,2.472,-26.054
 09:40:59.534,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,0.131,0.136,1.409,180.359,-6.714,1.831, , , , , , ,17.919,2.428,-26.065
 09:40:59.534,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,0.153,0.136,1.444,186.218,-3.601,0.183, , , , , , ,18.836,2.406,-26.071
 09:40:59.534,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,0.169,0.174,1.51,194.824,0.549,-2.93, , , , , , ,19.792,2.401,-26.076
 09:40:59.534,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,0.175,0.183,1.553,204.041,3.235,-7.324, , , , , , ,20.786,2.417,-26.104
 09:40:59.534,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,0.205,0.144,1.584,214.355,7.385,-11.536, , , , , , ,21.841,2.461,-26.153
 09:40:59.534,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,0.235,0.116,1.604,223.877,13.489,-15.198, , , , , , ,22.934,2.538,-26.197
 09:40:59.534,eb:33:2e:f9:57:b5, 2015-01-01 00:29:34.480,0.263,0.161,1.576,233.276,17.761,-19.104, , , , , , ,24.082,2.648,-26.241
