Fold,ACC,PPV,REC,F1
1,0.9837837837837838,0.9837814478301282,0.9837837837837838,0.9837501062856324
2,0.9837837837837838,0.9837612731716381,0.9837837837837838,0.9837616762428791
3,0.9837837837837838,0.9839115435883764,0.9837837837837838,0.9837719070134786
4,0.983739837398374,0.9842909946236559,0.983739837398374,0.9836770327596498
5,0.9728997289972899,0.9735399413388544,0.9728997289972899,0.9726821847636957
Promedio,0.981598183549403,0.9818570401105307,0.981598183549403,0.9815285814130672
