Acceleration X(g)_mean,Acceleration X(g)_std,Acceleration X(g)_var,Acceleration X(g)_rms,Acceleration X(g)_sma,Acceleration X(g)_freq_dom,Acceleration X(g)_spec_entropy,Acceleration Y(g)_mean,Acceleration Y(g)_std,Acceleration Y(g)_var,Acceleration Y(g)_rms,Acceleration Y(g)_sma,Acceleration Y(g)_freq_dom,Acceleration Y(g)_spec_entropy,Acceleration Z(g)_mean,Acceleration Z(g)_std,Acceleration Z(g)_var,Acceleration Z(g)_rms,Acceleration Z(g)_sma,Acceleration Z(g)_freq_dom,Acceleration Z(g)_spec_entropy,Angular velocity X(°/s)_mean,Angular velocity X(°/s)_std,Angular velocity X(°/s)_var,Angular velocity X(°/s)_rms,Angular velocity X(°/s)_sma,Angular velocity X(°/s)_freq_dom,Angular velocity X(°/s)_spec_entropy,Angular velocity Y(°/s)_mean,Angular velocity Y(°/s)_std,Angular velocity Y(°/s)_var,Angular velocity Y(°/s)_rms,Angular velocity Y(°/s)_sma,Angular velocity Y(°/s)_freq_dom,Angular velocity Y(°/s)_spec_entropy,Angular velocity Z(°/s)_mean,Angular velocity Z(°/s)_std,Angular velocity Z(°/s)_var,Angular velocity Z(°/s)_rms,Angular velocity Z(°/s)_sma,Angular velocity Z(°/s)_freq_dom,Angular velocity Z(°/s)_spec_entropy,Clase,Sujeto
0.0012408234997523,0.0007736924801453,5.986000538335074e-07,0.0014622732341704,0.0012479261335123,5.078125,2.962972707276416,0.0229336819454588,0.0010556017101424,1.114294970455634e-06,0.0229579629441708,0.0229336819454588,0.390625,2.555741943744147,0.9966171109039754,0.001109598055821,1.2312078454817633e-06,0.9966177285972954,0.9966171109039754,5.46875,2.76180321108116,-0.04667550853225,0.2687333225491549,0.0722175986483081,0.2727566713117247,0.2108251524767428,1.171875,2.260126419830674,-0.0534986503464288,0.0932417895798801,0.0086940313240586,0.1074994740124252,0.0868182432132964,5.078125,2.5626357985857573,0.1556657096925844,0.1192902799629208,0.014230170893632,0.1961172712122214,0.1625242345531493,1.171875,2.4304423004799784,Quieto,S01
0.0014673537258665,0.0008363030503537,6.994027920309741e-07,0.0016889433823682,0.0014674255159515,5.078125,2.721696985736181,0.0224735002767043,0.0010188679679074,1.0380919360279286e-06,0.0224965843323616,0.0224735002767043,0.390625,2.4765845876934245,0.9966743606128468,0.0010087857641456,1.0176487179429414e-06,0.9966748711348876,0.9966743606128468,4.6875,2.565482525317177,-0.1670097890005319,0.2425562137250735,0.0588335168166435,0.2944924216998558,0.2181064643962036,1.171875,2.3346149041209654,-0.0689073614056376,0.1092025336148823,0.0119251933479095,0.1291255892679552,0.1048579738416265,4.6875,2.620261321928592,0.1090261670929102,0.1140156344723509,0.0129995649041327,0.1577538272597654,0.127907712507159,0.390625,2.5463031969927914,Quieto,S01
0.001819004535487,0.0009138962600481,8.352063741299739e-07,0.0020356777432227,0.0018214809899172,5.46875,2.119347515607617,0.0209367647340295,0.0012903395365108,1.664976119483131e-06,0.0209764890686594,0.0209367647340295,0.390625,1.7188396259281176,0.9968775459279802,0.0010247508834182,1.0501143730664718e-06,0.9968780726296296,0.9968775459279802,5.46875,2.666009605258358,-0.1598135281596302,0.2879632879142888,0.0829228551864076,0.3293375456416054,0.2354250268353089,0.78125,1.9377756191875937,-0.0679184744925459,0.129175810419072,0.016686389997424,0.1459428284460002,0.1217572393561845,5.46875,2.330637849045261,0.1081065429205754,0.1336051621386046,0.0178503393500828,0.1718643766820834,0.1421984172194336,0.78125,2.0915725448145697,Quieto,S01
0.0017988468292701,0.0008810561288686,7.762599022169586e-07,0.00200302516644,0.0018013232837003,5.078125,2.1235350444485754,0.0205719429265894,0.0011229234868231,1.260957157259073e-06,0.0206025676295968,0.0205719429265894,0.390625,2.0017623498656074,0.996958410052926,0.0009656383762242,9.32457473637014e-07,0.996958877703956,0.996958410052926,4.6875,2.7329263508133383,-0.056845110340643,0.2893243956323594,0.08370860590803,0.294855850336516,0.2082732781243461,0.390625,2.0984750888699137,-0.032049540886322,0.128992940345226,0.016639178658907,0.1329148288564187,0.1086501757432099,5.078125,2.138045036199063,0.1353101133100503,0.1341929369192877,0.0180077443190239,0.1905690716853146,0.1576488994143901,5.078125,2.383914339734467,Quieto,S01
0.0015945808545927,0.0006827588396651,4.661596331408398e-07,0.0017346030482431,0.0015945808545927,4.296875,2.503628647947226,0.02105912934142,0.0007529237477924,5.668941699898088e-07,0.0210725846252577,0.02105912934142,0.390625,2.572445560127208,0.9969192133655616,0.0007379127055125,5.445151609568503e-07,0.9969194864644644,0.9969192133655616,4.6875,2.819898009855266,-0.0576761756543188,0.1953335870587379,0.0381552102332335,0.2036706936977959,0.1565201697788394,0.390625,2.333876080528461,-0.0164887606188691,0.1035177404812638,0.0107159225943462,0.1048227161501392,0.0840044585429071,4.296875,2.512017217490468,0.1282884848739467,0.0952511533933174,0.0090727822227572,0.1597833457341852,0.1295697471370289,4.6875,2.465280531005139,Quieto,S01
0.0014344584599632,0.0006926911228447,4.798209916679412e-07,0.0015929507415573,0.0014344584599632,3.90625,2.769936573647969,0.0209722634143762,0.0006455160987882,4.166910337948119e-07,0.0209821953988561,0.0209722634143762,4.6875,2.6995523265372268,0.9969017106991632,0.0009170583183069,8.409959591758984e-07,0.9969021325039272,0.9969017106991632,4.6875,2.6709023297492838,-0.0661194583695279,0.1546597377844099,0.0239196344915424,0.1682005269510835,0.1312062567074371,0.390625,2.200734654455388,-0.033138997549941,0.0966659168363556,0.0093442994778132,0.1021885151884898,0.0801594688813767,3.90625,2.556343423246184,0.1326580695898198,0.0830173511357377,0.0068918805895943,0.1564929519719397,0.1336693994937364,0.390625,2.1815788844461608,Quieto,S01
0.0013124753050299,0.0008387157043645,7.034440327476738e-07,0.001557573580625,0.0013204681154929,4.6875,2.410506516655727,0.020926172053345,0.0006973214977559,4.86257271232644e-07,0.0209377872297297,0.020926172053345,5.078125,2.2249002349560176,0.9968988392992576,0.0008931972943358,7.97801406608912e-07,0.9968992394407838,0.9968988392992576,5.078125,2.1352567818847743,-0.0556438857021169,0.1413593098615361,0.0199824544845297,0.1519167420021902,0.1202811665729087,5.078125,2.0143276310154823,-0.0436653989491208,0.1278885459459064,0.0163554801841582,0.1351375123699711,0.10234849579701,4.6875,2.3675166992835157,0.1402291058952187,0.0933710254119826,0.0087181483864851,0.168470622147179,0.1407115977283942,5.078125,2.2860733484971365,Quieto,S01
0.0013551566782057,0.0007801245281169,6.085942793696739e-07,0.0015636636153135,0.0013631494886687,4.6875,2.0995803927278622,0.0206459971259508,0.0006733249684121,4.533665130872309e-07,0.0206569737337746,0.0206459971259508,5.078125,1.867321481595081,0.9969028058715708,0.0006695213418196,4.482588271520073e-07,0.996903030697288,0.9969028058715708,4.6875,3.022907370703521,-0.1057528647046215,0.106054087090867,0.0112474693886772,0.149770283373943,0.1186225103029794,5.078125,2.2425135520083868,-0.0406130207674749,0.1181126682949992,0.0139506024117645,0.1249000395020908,0.0933803531041636,5.078125,1.9760172012283597,0.1089717787326706,0.0826503231173757,0.0068310759114066,0.1367696036097522,0.1097201704404416,5.078125,2.086533358795384,Quieto,S01
0.0013765762150941,0.0005292789108388,2.8013616545873545e-07,0.0014748214269604,0.0013765762150941,4.296875,3.03265220094814,0.0200090390143728,0.0008058754918149,6.494353083080061e-07,0.0200252609867388,0.0200090390143728,5.078125,2.1630799829689136,0.996882173481264,0.000825151258005,6.808745985872815e-07,0.996882514983249,0.996882173481264,5.078125,2.751093167388561,-0.1059959827415706,0.1186472633093482,0.0140771730907978,0.1590984646316524,0.1227880551098853,5.078125,2.375914588692725,-0.035860539968373,0.0683720587198319,0.0046747384135881,0.0772056781617222,0.0607112224803576,5.078125,2.6745499913268453,0.0948354576548643,0.0708211923409136,0.0050156412845886,0.1183613336913548,0.0963555696623587,5.078125,2.6613874421753896,Quieto,S01
0.0014985402652256,0.0006770017414974,4.583313579905463e-07,0.0016443704827359,0.0014989967097613,7.8125,3.2152486511728577,0.0199161397791514,0.000789047731132,6.225963220045823e-07,0.0199317640971566,0.0199161397791514,0.390625,2.349866987886061,0.9969510691765356,0.0008364861526986,6.997090836565201e-07,0.99695142010096,0.9969510691765356,4.6875,2.879986850723665,-0.0411096890004413,0.1690087110441297,0.0285639444087981,0.1739366290880422,0.1304422677007273,0.390625,2.1523447450809647,-0.0562471766261263,0.0790917878438012,0.0062555109043288,0.0970528504616918,0.0740833215220963,3.125,2.873237392223662,0.144647120742596,0.1060657971312492,0.0112499533210873,0.1793676193191247,0.1459013328754949,0.390625,2.18129869740768,Quieto,S01
