Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 09:19:03.677,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.42,-0.719,0.178,-90.271,41.748,-31.25, , , , , , ,61.078,16.348,-103.645
 09:19:03.677,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.399,-0.717,0.059,-97.595,29.602,-33.203, , , , , , ,60.628,16.573,-103.574
 09:19:03.679,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.368,-0.689,0.047,-108.276,17.273,-34.546, , , , , , ,60.112,16.776,-103.557
 09:19:03.679,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.334,-0.681,0.059,-121.704,6.165,-34.302, , , , , , ,59.518,16.952,-103.601
 09:19:03.679,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.305,-0.702,0.056,-137.634,-3.174,-32.227, , , , , , ,58.826,17.095,-103.694
 09:19:03.679,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.289,-0.723,0.043,-156.067,-11.169,-28.931, , , , , , ,58.046,17.205,-103.815
 09:19:03.679,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.288,-0.733,0.057,-175.598,-18.066,-24.78, , , , , , ,57.167,17.276,-103.953
 09:19:03.679,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.285,-0.731,0.098,-194.885,-23.804,-20.264, , , , , , ,56.184,17.303,-104.112
 09:19:03.679,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.282,-0.719,0.139,-212.769,-29.175,-15.564, , , , , , ,55.091,17.298,-104.293
 09:19:03.679,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.283,-0.701,0.181,-228.821,-34.424,-10.681, , , , , , ,53.926,17.254,-104.469
 09:19:03.699,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.287,-0.682,0.237,-242.493,-39.551,-5.92, , , , , , ,52.685,17.177,-104.645
 09:19:03.700,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.291,-0.647,0.292,-253.601,-44.556,-1.282, , , , , , ,51.383,17.056,-104.832
 09:19:03.700,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.285,-0.6,0.339,-262.207,-49.805,3.052, , , , , , ,50.021,16.897,-105.029
 09:19:03.700,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.284,-0.546,0.382,-268.311,-55.969,7.202, , , , , , ,48.636,16.699,-105.222
 09:19:03.700,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.284,-0.499,0.436,-272.339,-62.744,10.925, , , , , , ,47.225,16.463,-105.419
 09:19:03.700,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.276,-0.461,0.469,-275.146,-69.946,14.709, , , , , , ,45.797,16.183,-105.628
 09:19:03.700,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.267,-0.432,0.486,-277.893,-77.576,18.738, , , , , , ,44.341,15.859,-105.848
 09:19:03.700,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.262,-0.407,0.519,-280.762,-85.205,23.071, , , , , , ,42.885,15.485,-106.062
 09:19:03.790,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.254,-0.385,0.576,-283.508,-92.468,27.771, , , , , , ,41.413,15.068,-106.271
 09:19:03.790,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.244,-0.356,0.644,-286.499,-99.304,32.593, , , , , , ,39.935,14.601,-106.474
 09:19:03.790,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.241,-0.318,0.708,-289.978,-106.079,37.476, , , , , , ,38.43,14.079,-106.677
 09:19:03.790,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.243,-0.273,0.775,-293.945,-112.427,42.053, , , , , , ,36.925,13.524,-106.864
 09:19:03.790,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.249,-0.228,0.839,-298.218,-118.774,45.837, , , , , , ,35.403,12.92,-107.029
 09:19:03.790,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.263,-0.184,0.897,-302.246,-125.183,48.95, , , , , , ,33.865,12.283,-107.183
 09:19:03.790,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.271,-0.141,0.968,-305.42,-131.104,51.086, , , , , , ,32.3,11.602,-107.336
 09:19:03.790,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.272,-0.089,1.042,-307.373,-136.475,52.063, , , , , , ,30.74,10.893,-107.468
 09:19:03.791,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.277,-0.032,1.113,-307.617,-141.846,51.941, , , , , , ,29.18,10.157,-107.595
 09:19:03.791,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.283,0.021,1.191,-306.274,-146.545,50.781, , , , , , ,27.625,9.393,-107.715
 09:19:03.792,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.266,0.085,1.278,-303.284,-151.55,48.401, , , , , , ,26.065,8.608,-107.842
 09:19:03.792,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.251,0.13,1.342,-300.415,-154.602,46.204, , , , , , ,24.543,7.817,-107.957
 09:19:03.792,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.235,0.154,1.429,-297.607,-155.029,44.25, , , , , , ,23.033,7.015,-108.062
 09:19:03.792,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.215,0.169,1.526,-295.044,-152.832,42.786, , , , , , ,21.544,6.218,-108.155
 09:19:03.792,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.189,0.186,1.604,-293.152,-148.743,41.687, , , , , , ,20.05,5.433,-108.232
 09:19:03.792,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.210,0.18,0.202,1.655,-292.053,-144.043,40.894, , , , , , ,18.583,4.675,-108.281
 09:19:03.834,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.185,0.222,1.695,-291.687,-139.038,40.222, , , , , , ,17.122,3.944,-108.303
 09:19:03.834,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.194,0.252,1.72,-291.809,-134.644,39.062, , , , , , ,15.667,3.23,-108.303
 09:19:03.834,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.213,0.287,1.726,-291.565,-131.836,37.231, , , , , , ,14.194,2.532,-108.298
 09:19:03.834,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.234,0.323,1.73,-290.283,-130.615,34.607, , , , , , ,12.739,1.857,-108.276
 09:19:03.834,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.248,0.357,1.743,-287.781,-130.737,31.311, , , , , , ,11.294,1.181,-108.254
 09:19:03.834,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.27,0.385,1.754,-284.363,-131.714,27.71, , , , , , ,9.866,0.511,-108.232
 09:19:03.834,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.286,0.405,1.786,-280.518,-132.141,23.987, , , , , , ,8.438,-0.165,-108.215
 09:19:03.834,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.294,0.426,1.821,-276.367,-132.019,20.264, , , , , , ,7.048,-0.835,-108.199
 09:19:03.878,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.304,0.451,1.846,-272.217,-131.653,16.602, , , , , , ,5.68,-1.5,-108.177
 09:19:03.878,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.313,0.477,1.866,-268.066,-131.226,12.939, , , , , , ,4.329,-2.164,-108.166
 09:19:03.878,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.321,0.506,1.881,-263.977,-131.226,9.399, , , , , , ,2.988,-2.829,-108.155
 09:19:03.878,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.326,0.533,1.894,-259.888,-131.531,5.798, , , , , , ,1.675,-3.488,-108.149
 09:19:03.878,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.332,0.559,1.905,-255.737,-132.263,2.075, , , , , , ,0.39,-4.147,-108.144
 09:19:03.878,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.332,0.592,1.917,-251.343,-133.423,-1.892, , , , , , ,-0.868,-4.812,-108.138
 09:19:03.878,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.3,0.635,1.929,-246.582,-134.949,-6.226, , , , , , ,-2.126,-5.493,-108.149
 09:19:03.878,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.254,0.671,1.917,-241.455,-137.573,-10.498, , , , , , ,-3.345,-6.174,-108.16
 09:19:03.946,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.189,0.653,1.928,-236.816,-140.808,-14.282, , , , , , ,-4.537,-6.877,-108.177
 09:19:03.946,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.136,0.667,1.929,-233.276,-143.738,-17.883, , , , , , ,-5.707,-7.597,-108.193
 09:19:03.946,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,0.051,0.711,1.917,-231.018,-147.522,-20.874, , , , , , ,-6.877,-8.339,-108.215
 09:19:03.946,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,-0.055,0.731,1.889,-229.553,-153.137,-23.682, , , , , , ,-8.026,-9.102,-108.232
 09:19:03.946,eb:33:2e:f9:57:b5, 2015-01-01 00:11:33.570,-0.15,0.703,1.857,-228.149,-159.607,-25.757, , , , , , ,-9.168,-9.899,-108.237
