Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 12:32:23.345,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.008,0.201,1.465,165.649,104.37,-22.339, , , , , , ,21.769,12.129,-140.109
 12:32:23.345,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.018,0.255,1.562,167.114,108.887,-22.827, , , , , , ,22.626,12.667,-140.01
 12:32:23.345,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.088,0.202,1.572,166.443,112.427,-21.606, , , , , , ,23.489,13.222,-139.889
 12:32:23.345,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.257,0.217,1.63,163.879,120.239,-20.447, , , , , , ,24.34,13.793,-139.746
 12:32:23.345,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.438,0.151,1.707,162.048,134.216,-18.982, , , , , , ,25.203,14.42,-139.559
 12:32:23.346,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.606,0.211,1.696,158.569,149.658,-18.311, , , , , , ,26.06,15.106,-139.323
 12:32:23.346,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.66,0.236,1.62,151.489,163.879,-19.531, , , , , , ,26.911,15.859,-139.048
 12:32:23.346,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.74,0.165,1.443,143.066,173.95,-19.287, , , , , , ,27.729,16.655,-138.73
 12:32:23.751,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.757,0.264,1.369,135.071,184.998,-21.118, , , , , , ,28.521,17.496,-138.378
 12:32:23.751,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.751,0.412,1.219,131.165,191.223,-26.611, , , , , , ,29.295,18.386,-138.005
 12:32:23.751,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.868,0.534,0.916,128.601,189.88,-38.574, , , , , , ,30.053,19.297,-137.664
 12:32:23.751,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.902,-0.219,-0.045,116.028,160.278,-49.438, , , , , , ,30.756,20.171,-137.395
 12:32:23.751,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,0.75,-1.372,-2.033,77.393,67.017,-40.344, , , , , , ,31.256,20.753,-137.307
 12:32:23.751,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,1.232,-0.611,-1.178,45.532,-42.297,-36.194, , , , , , ,31.481,20.847,-137.477
 12:32:23.751,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,1.472,-0.607,0.379,17.761,-104.797,-32.043, , , , , , ,31.487,20.577,-137.867
 12:32:23.751,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,1.36,-1.331,0.827,-6.409,-122.62,-24.597, , , , , , ,31.339,20.143,-138.323
 12:32:23.753,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,1.163,-1.772,0.609,-29.846,-125.122,-12.329, , , , , , ,31.091,19.655,-138.746
 12:32:23.753,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,1.034,-1.857,0.542,-49.255,-127.502,2.747, , , , , , ,30.762,19.122,-139.103
 12:32:23.753,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,1.073,-1.933,0.65,-61.707,-130.493,18.921, , , , , , ,30.383,18.534,-139.395
 12:32:23.753,eb:33:2e:f9:57:b5, 2015-01-01 00:18:31.915,1.197,-2.13,0.697,-70.679,-130.981,35.217, , , , , , ,29.971,17.886,-139.614
