Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°)
 14:39:15.450,eb:33:2e:f9:57:b5, 2085-97-108 00:253:255:1996,0.042,-0.032,0.977,15.564,18.494,3.479,-0.786,-1.324,85.946
 14:39:15.451,eb:33:2e:f9:57:b5, 2085-97-89 00:255:255:1977,0.003,-0.021,0.973,13.123,20.569,3.601,-0.648,-1.126,85.974
 14:39:15.451,eb:33:2e:f9:57:b5, 2085-97-32 00:04:00:1937,0.007,-0.026,0.959,11.902,20.142,3.662,-0.522,-0.906,86.001
 14:39:15.451,eb:33:2e:f9:57:b5, 2085-97-23 00:252:255:1955,0.014,-0.013,0.95,10.376,17.395,3.784,-0.412,-0.72,86.034
 14:39:15.482,eb:33:2e:f9:57:b5, 2085-97-09 00:227:255:1983,0.024,-0.008,0.968,9.705,15.991,3.174,-0.313,-0.544,86.061
 14:39:15.482,eb:33:2e:f9:57:b5, 2085-97-45 00:248:255:1994,0.02,-0.008,0.98,9.705,14.282,2.747,-0.22,-0.39,86.089
 14:39:15.482,eb:33:2e:f9:57:b5, 2085-97-50 00:00:00:2013,0.023,-0.004,0.979,9.216,14.343,1.831,-0.121,-0.236,86.111
 14:39:15.482,eb:33:2e:f9:57:b5, 2085-97-40 00:253:255:2017,0.035,0.003,0.986,8.667,16.479,0.732,-0.033,-0.077,86.116
 14:39:15.511,eb:33:2e:f9:57:b5, 2085-97-80 00:21:00:2059,0.035,0.005,0.992,7.751,18.311,-0.549,0.055,0.11,86.116
 14:39:15.511,eb:33:2e:f9:57:b5, 2085-97-57 00:253:255:2035,0.028,0.004,1.009,7.507,21.423,-1.587,0.132,0.313,86.094
 14:39:15.511,eb:33:2e:f9:57:b5, 2085-97-52 00:11:00:2033,0.016,0.006,1,6.165,24.414,-2.258,0.203,0.555,86.072
 14:39:15.511,eb:33:2e:f9:57:b5, 2085-97-02 00:255:255:2044,-0.006,0.004,0.994,5.859,25.085,-3.601,0.264,0.802,86.039
 14:39:15.570,eb:33:2e:f9:57:b5, 2085-97-232 255:241:255:2042,-0.013,-0.002,0.994,6.47,24.109,-3.967,0.33,1.066,85.99
 14:39:15.570,eb:33:2e:f9:57:b5, 2085-97-212 255:244:255:2029,-0.054,-0.005,0.991,7.69,21.362,-4.456,0.406,1.291,85.946
 14:39:15.570,eb:33:2e:f9:57:b5, 2085-97-206 255:232:255:2061,-0.036,-0.024,1.015,9.766,17.7,-4.089,0.494,1.5,85.897
 14:39:15.570,eb:33:2e:f9:57:b5, 2085-97-176 255:217:255:2156,-0.019,-0.019,1.035,12.878,13.184,-4.333,0.615,1.648,85.853
 14:39:15.601,eb:33:2e:f9:57:b5, 2085-97-241 255:252:255:2124,-0.025,-0.006,1.036,17.395,8.972,-4.517,0.775,1.769,85.803
 14:39:15.601,eb:33:2e:f9:57:b5, 2085-97-144 255:163:255:2409,-0.049,-0.01,1.095,21.423,7.141,-4.944,0.967,1.846,85.754
