Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°)
 15:12:47.465,eb:33:2e:f9:57:b5, 2085-97-39 19:137:09:1699,3.724,-5.756,3.858,78.857,-32.043,-319.153,-4.175,0.945,101.305
 15:12:47.466,eb:33:2e:f9:57:b5, 2085-97-69 11:223:12:5295,1.179,0.052,-1.451,52.429,134.155,-109.436,-3.862,0.873,99.443
 15:12:47.466,eb:33:2e:f9:57:b5, 2085-97-62 12:242:07:1545,1.522,2.489,2.648,66.345,-71.411,6.531,-3.049,1.285,98.943
 15:12:47.466,eb:33:2e:f9:57:b5, 2085-97-246 11:72:02:1263,0.932,-0.008,-0.278,23.499,92.712,-21.545,-2.664,1.269,98.904
 15:12:47.495,eb:33:2e:f9:57:b5, 2085-97-18 00:252:255:3519,-0.748,0.695,2.162,29.236,158.569,44.25,-2.362,2.812,98.987
 15:12:47.495,eb:33:2e:f9:57:b5, 2085-97-72 246:254:254:4123,-1.477,-0.377,1.193,8.24,182.739,22.827,-2.181,4.532,99.311
 15:12:47.495,eb:33:2e:f9:57:b5, 2085-97-236 241:240:251:3846,-1.336,-0.244,1.919,-10.559,83.679,2.014,-2.219,5.828,99.344
 15:12:47.495,eb:33:2e:f9:57:b5, 2085-97-215 249:157:255:3312,-0.281,-0.272,1.829,-8.667,-23.804,-13.062,-2.324,6.042,99.256
 15:12:47.553,eb:33:2e:f9:57:b5, 2085-97-61 01:190:00:2342,0.409,0.022,1.346,-21.484,-48.767,-14.526,-2.505,5.587,99.124
 15:12:47.553,eb:33:2e:f9:57:b5, 2085-97-210 03:63:01:1899,0.473,0.152,0.988,-31.86,-10.315,-3.723,-2.785,5.279,99.058
 15:12:47.553,eb:33:2e:f9:57:b5, 2085-113-58 00:255:00:-4020,0.37,0.129,0.91,-40.344,36.621,7.629,-3.164,5.433,99.075
 15:12:47.553,eb:33:2e:f9:57:b5, 2085-97-14 01:00:00:2041,-0.137,0.091,0.936,-43.579,53.65,12.451,-3.367,5.674,99.119
 15:12:47.553,eb:33:2e:f9:57:b5, 2085-97-85 253:85:254:2161,-0.43,-0.123,1.037,-44.739,57.434,15.137,-3.807,6.279,99.245
 15:12:47.616,eb:33:2e:f9:57:b5, 2085-97-161 252:251:253:2104,-0.361,-0.254,1.049,-38.635,33.386,10.193,-4.224,6.735,99.338
 15:12:47.616,eb:33:2e:f9:57:b5, 2085-97-236 253:121:254:2058,-0.143,-0.228,1.012,-31.677,10.864,4.7,-4.565,6.943,99.404
 15:12:47.616,eb:33:2e:f9:57:b5, 2085-97-122 255:26:255:1969,-0.036,-0.134,0.987,-28.259,1.709,3.296,-4.867,6.987,99.437
 15:12:47.616,eb:33:2e:f9:57:b5, 2085-97-226 255:60:255:1964,-0.015,-0.103,0.956,-28.32,5.066,3.967,-5.147,7.02,99.481
 15:12:47.674,eb:33:2e:f9:57:b5, 2085-97-191 255:54:255:2056,-0.086,-0.09,0.985,-29.541,11.597,5.432,-5.444,7.108,99.52
 15:12:47.674,eb:33:2e:f9:57:b5, 2085-97-230 254:01:255:2144,-0.179,-0.095,1.042,-31.738,15.076,6.409,-5.746,7.262,99.58
 15:12:47.674,eb:33:2e:f9:57:b5, 2085-97-105 254:198:254:2125,-0.195,-0.146,1.045,-33.203,12.512,5.005,-6.075,7.405,99.624
 15:12:47.674,eb:33:2e:f9:57:b5, 2085-97-182 254:195:254:2098,-0.136,-0.171,1.029,-33.081,7.629,3.113,-6.405,7.504,99.668
 15:12:47.734,eb:33:2e:f9:57:b5, 2085-97-29 255:229:254:2088,-0.102,-0.135,1.031,-33.569,5.31,2.319,-6.746,7.564,99.684
 15:12:47.734,eb:33:2e:f9:57:b5, 2085-97-64 255:244:254:2048,-0.098,-0.135,1.024,-34.851,5.737,1.709,-7.086,7.625,99.712
 15:12:47.734,eb:33:2e:f9:57:b5, 2085-97-41 255:189:254:2027,-0.113,-0.144,0.999,-35.278,6.897,1.77,-7.449,7.685,99.717
