Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°)
 15:07:16.069,eb:33:2e:f9:57:b5, 2085-97-207 252:105:255:3236,-0.458,-0.034,1.281,-63.477,70.618,26.062,-2.285,1.016,167.13
 15:07:16.069,eb:33:2e:f9:57:b5, 2085-97-254 254:184:01:3970,-0.325,0.001,1.821,-80.017,43.579,28.198,-2.977,1.599,167.393
 15:07:16.069,eb:33:2e:f9:57:b5, 2085-97-168 254:231:02:4433,0.125,0.384,2.521,-107.239,7.324,47.363,-3.922,1.939,167.728
 15:07:16.069,eb:33:2e:f9:57:b5, 2085-97-196 01:149:02:4460,0.209,0.36,2.072,-155.151,-5.005,57.8,-5.219,1.917,168.289
 15:07:16.159,eb:33:2e:f9:57:b5, 2085-97-125 01:172:05:5657,0.061,0.598,2.898,-205.078,-6.104,57.983,-7.031,2.005,168.86
 15:07:16.159,eb:33:2e:f9:57:b5, 2085-97-218 253:231:06:6061,-0.488,0.738,2.67,-263.916,-1.038,56.641,-9.377,2.016,169.475
 15:07:16.159,eb:33:2e:f9:57:b5, 2085-97-45 249:87:08:7184,-1.116,0.805,3.172,-338.074,4.7,28.564,-12.393,2.109,169.92
 15:07:16.159,eb:33:2e:f9:57:b5, 2085-97-84 245:108:10:7675,-1.495,1.019,3.75,-428.65,-18.555,-5.31,-16.265,2.098,170.057
 15:07:16.161,eb:33:2e:f9:57:b5, 2085-97-107 243:252:12:8284,-1.328,1.354,3.684,-525.574,-58.655,-46.448,-21.083,1.659,169.953
 15:07:16.161,eb:33:2e:f9:57:b5, 2085-97-152 248:51:14:11326,-0.518,1.84,4.591,-628.479,-117.126,-76.904,-26.911,0.577,169.722
 15:07:16.161,eb:33:2e:f9:57:b5, 2085-97-108 255:18:10:11794,-0.156,1.936,5.953,-710.083,-200.317,-76.538,-33.679,-1.252,169.92
 15:07:16.161,eb:33:2e:f9:57:b5, 2085-97-91 251:157:250:12125,-0.229,0.047,5.977,-685.547,-270.142,-78.003,-40.787,-3.494,170.684
 15:07:16.188,eb:33:2e:f9:57:b5, 2085-97-154 249:147:247:13599,-1.282,-1.079,5.763,-629.639,-394.348,-40.405,-47.401,-6.394,172.733
 15:07:16.188,eb:33:2e:f9:57:b5, 2085-97-42 248:242:03:9331,0.013,1.123,6.635,-648.56,-510.803,78.491,-54.322,-9.294,176.325
 15:07:16.188,eb:33:2e:f9:57:b5, 2085-97-63 247:100:244:7540,-2.537,-2.065,1.465,-476.624,-369.263,195.984,-61.029,-10.486,-178.737
 15:07:16.188,eb:33:2e:f9:57:b5, 2085-97-83 228:25:250:12049,-3.631,-1.27,5.184,-385.071,-208.313,130.493,-65.616,-10.091,-175.479
 15:07:16.218,eb:33:2e:f9:57:b5, 2085-97-207 227:232:06:9307,-3.311,0.018,5.312,-475.525,-57.922,-58.716,-70.153,-10.316,-174.018
 15:07:16.218,eb:33:2e:f9:57:b5, 2085-97-224 230:195:21:7087,-2.975,1.851,4.04,-479.248,94.788,-243.286,-74.894,-11.794,-174.869
 15:07:16.218,eb:33:2e:f9:57:b5, 2085-97-201 233:11:30:6595,-2.637,3.382,3.086,-309.875,137.268,-320.923,-78.415,-14.392,-176.726
 15:07:16.218,eb:33:2e:f9:57:b5, 2085-97-96 237:99:32:7384,-2.15,3.91,3.553,-134.888,120.972,-329.773,-79.92,-17.358,-178.704
 15:07:16.277,eb:33:2e:f9:57:b5, 2085-97-40 240:123:33:6837,-1.746,4.192,3.602,-43.152,105.469,-315.186,-80.134,-20.352,179.599
 15:07:16.277,eb:33:2e:f9:57:b5, 2085-97-229 243:21:33:5015,-1.335,4.147,2.895,6.531,113.831,-282.471,-79.623,-23.088,177.907
 15:07:16.277,eb:33:2e:f9:57:b5, 2085-97-98 247:136:33:3979,-0.772,4.125,2.163,61.829,152.283,-231.75,-78.459,-25.351,175.995
 15:07:16.277,eb:33:2e:f9:57:b5, 2085-97-53 251:210:36:4059,-0.573,4.389,1.915,134.399,198.181,-160.583,-76.349,-26.834,173.573
 15:07:16.307,eb:33:2e:f9:57:b5, 2085-97-04 251:79:36:3318,-0.66,4.669,1.916,227.112,170.715,-65.43,-73.433,-27.4,171.249
 15:07:16.307,eb:33:2e:f9:57:b5, 2085-97-234 250:101:32:1628,-0.71,4.28,1.186,337.158,117.981,24.414,-69.813,-27.076,169.722
 15:07:16.307,eb:33:2e:f9:57:b5, 2085-97-166 251:221:26:970,-0.433,3.753,0.667,421.021,137.024,70.251,-65.479,-26.115,168.75
 15:07:16.307,eb:33:2e:f9:57:b5, 2085-97-245 252:218:23:1094,-0.419,3.102,0.402,472.29,223.511,82.642,-60.326,-24.565,167.327
 15:07:16.339,eb:33:2e:f9:57:b5, 2085-97-212 251:46:20:3421,-0.589,2.852,0.921,524.048,293.823,105.774,-54.575,-22.341,165.498
 15:07:16.339,eb:33:2e:f9:57:b5, 2085-97-205 250:176:15:5215,-0.742,2.199,2.238,582.886,285.645,138.672,-48.356,-19.506,163.845
 15:07:16.339,eb:33:2e:f9:57:b5, 2085-97-227 249:180:13:5186,-0.701,1.807,2.612,624.39,257.751,152.71,-42.006,-16.567,163.004
 15:07:16.339,eb:33:2e:f9:57:b5, 2085-97-242 250:63:13:5565,-0.56,1.655,2.514,658.691,268.372,164.673,-35.409,-13.524,162.587
 15:07:16.399,eb:33:2e:f9:57:b5, 2085-97-191 251:72:14:7059,-0.711,1.716,3.048,680.054,300.72,186.34,-28.68,-10.168,162.614
 15:07:16.399,eb:33:2e:f9:57:b5, 2085-97-117 248:130:10:8131,-0.973,1.708,3.873,699.585,274.231,234.985,-21.808,-6.575,163.251
 15:07:16.399,eb:33:2e:f9:57:b5, 2085-97-157 248:79:255:6433,-0.871,0.655,3.556,713.013,218.75,269.348,-14.865,-3.51,164.965
 15:07:16.399,eb:33:2e:f9:57:b5, 2085-97-189 249:180:239:7351,-0.58,-0.969,3.194,681.885,227.417,270.691,-7.866,-0.78,167.195
 15:07:16.549,eb:33:2e:f9:57:b5, 2085-97-219 252:220:221:9175,-0.12,-3.191,4.025,589.966,234.802,225.525,-1.5,1.758,169.497
 15:07:16.549,eb:33:2e:f9:57:b5, 2085-97-80 01:180:205:9514,0.556,-5.305,4.779,502.869,175.903,161.987,4.037,3.818,171.436
 15:07:16.549,eb:33:2e:f9:57:b5, 2085-97-10 08:75:193:7558,1.539,-7.103,4.1,461.914,126.648,103.821,8.937,5.076,172.886
 15:07:16.549,eb:33:2e:f9:57:b5, 2085-97-33 17:142:183:7084,2.636,-8.53,3.463,386.353,169.8,42.908,13.343,6.378,173.87
 15:07:16.550,eb:33:2e:f9:57:b5, 2085-113-58 00:49:252:-4650,3.075,-9.376,3.735,263.123,194.763,10.742,16.633,8.185,174.578
 15:07:16.637,eb:33:2e:f9:57:b5, 2085-97-217 26:02:179:8311,3.532,-9.554,4.003,198.059,167.908,14.282,17.809,9.025,174.908
 15:07:16.637,eb:33:2e:f9:57:b5, 2085-97-219 28:172:181:6613,3.543,-9.541,3.731,72.632,94.36,30.029,19.226,10.157,175.534
 15:07:16.637,eb:33:2e:f9:57:b5, 2085-97-173 26:178:189:4960,3.132,-8.875,2.777,-34.668,62.073,37.476,19.451,10.739,176.127
 15:07:16.637,eb:33:2e:f9:57:b5, 2085-97-62 23:51:203:3404,2.539,-7.54,2.068,-128.845,31.372,33.081,18.688,11.063,176.627
 15:07:16.639,eb:33:2e:f9:57:b5, 2085-97-232 16:191:219:1180,1.814,-5.525,1.158,-187.927,-16.663,29.053,17.084,11.036,176.946
 15:07:16.639,eb:33:2e:f9:57:b5, 2085-97-07 13:66:232:-776,1.638,-3.708,0.007,-197.51,-36.621,34.119,15.183,10.618,177.16
 15:07:16.639,eb:33:2e:f9:57:b5, 2085-97-51 09:49:202:5976,-2.937,-2.426,0.686,-290.466,176.147,211.975,13.217,10.602,177.753
 15:07:16.639,eb:33:2e:f9:57:b5, 2085-97-37 223:187:165:20028,-2.567,-2.993,4.378,-700.134,-328.491,-409.119,5.306,8.959,172.853
 15:07:16.642,eb:33:2e:f9:57:b5, 2085-97-140 226:136:34:5962,-0.774,-3.22,5.355,68.359,-328.247,-30.396,3.263,5.955,171.244
 15:07:16.642,eb:33:2e:f9:57:b5, 2085-97-254 08:136:253:355,3.801,1.126,2.429,-131.042,-401.733,-21.973,2.538,1.769,170.898
 15:07:16.642,eb:33:2e:f9:57:b5, 2085-97-42 27:177:254:-5519,1.865,-0.298,-2.74,-68.787,-183.044,55.176,1.67,-1.582,171.354
 15:07:16.642,eb:33:2e:f9:57:b5, 2085-97-106 04:198:254:844,-0.409,-0.47,-0.995,-43.396,15.32,33.081,1.049,-2.208,171.639
 15:07:16.642,eb:33:2e:f9:57:b5, 2085-97-44 248:202:255:4641,-0.868,-0.333,1.656,-46.692,32.654,12.756,0.549,-1.945,171.815
 15:07:16.642,eb:33:2e:f9:57:b5, 2085-97-08 255:238:255:2931,1.206,-0.183,1.866,-55.176,-19.714,-1.77,0.027,-1.945,171.881
 15:07:16.642,eb:33:2e:f9:57:b5, 2085-97-152 04:30:01:1982,0.273,0.302,0.389,-60.608,49.438,16.663,-0.538,-1.967,171.931
 15:07:16.643,eb:33:2e:f9:57:b5, 2085-97-91 255:109:01:3460,-0.607,0.055,1,-65.369,118.591,33.447,-1.176,-1.06,172.2
 15:07:16.667,eb:33:2e:f9:57:b5, 2085-97-164 252:60:00:5644,-1,-0.004,1.776,-82.581,132.629,54.138,-1.906,0.198,172.628
 15:07:16.667,eb:33:2e:f9:57:b5, 2085-97-75 246:122:15:8102,-1.502,1.819,4.26,-545.41,23.56,-4.456,-16.485,2.829,174.831
 15:07:16.667,eb:33:2e:f9:57:b5, 2085-97-233 245:145:20:10866,-0.766,2.292,4.613,-668.701,-11.475,-63.599,-22.648,2.796,174.435
 15:07:16.667,eb:33:2e:f9:57:b5, 2085-97-51 253:145:17:14019,-0.045,2.453,6.004,-789.307,-97.351,-82.764,-30.037,1.895,174.089
 15:07:16.699,eb:33:2e:f9:57:b5, 2085-97-52 00:59:254:13920,0.168,1.647,7.114,-871.033,-207.947,-75.317,-38.425,0.187,174.271
 15:07:16.699,eb:33:2e:f9:57:b5, 2085-97-13 255:79:243:14246,-0.977,-1.244,6.822,-811.89,-330.994,-76.355,-46.961,-2.296,175.501
 15:07:16.699,eb:33:2e:f9:57:b5, 2085-97-75 240:234:253:10792,-0.973,-1.799,6.72,-777.649,-501.587,-36.011,-55.069,-5.4,178.77
 15:07:16.699,eb:33:2e:f9:57:b5, 2085-97-64 248:226:229:4698,-1.618,-2.166,2.265,-649.048,-393.921,-11.78,-62.831,-7.949,-177.325
 15:07:16.759,eb:33:2e:f9:57:b5, 2085-97-04 235:213:241:12010,-3.448,-2.18,4.475,-401.733,-214.905,-43.701,-68.071,-9.388,-174.672
 15:07:16.759,eb:33:2e:f9:57:b5, 2085-97-163 225:48:06:13783,-3.725,-0.539,6.966,-419.434,-121.521,-175.293,-72.186,-10.997,-173.606
 15:07:16.759,eb:33:2e:f9:57:b5, 2085-97-126 228:43:20:9453,-3.138,1.805,5.79,-511.78,-22.522,-297.974,-76.948,-13.574,-173.48
 15:07:16.759,eb:33:2e:f9:57:b5, 2085-97-155 233:87:25:5748,-2.741,2.774,3.424,-443.481,126.77,-366.028,-81.524,-16.82,-174.721
 15:07:16.787,eb:33:2e:f9:57:b5, 2085-97-209 233:114:33:7428,-2.709,3.759,2.998,-212.158,203.735,-335.632,-83.969,-20.154,-177.045
 15:07:16.787,eb:33:2e:f9:57:b5, 2085-97-178 235:09:34:9022,-2.429,4.293,4.229,-42.664,133.85,-251.587,-84.221,-22.835,-179.203
