Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 13:49:03.585,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0,0.022,0.997,0,-0.061,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.585,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0,0.022,0.996,0.061,-0.122,0.183, , , , , , ,1.263,-0.088,-56.766
 13:49:03.585,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.002,0.022,0.996,0.061,-0.122,0.183, , , , , , ,1.263,-0.088,-56.766
 13:49:03.585,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.002,0.021,0.996,0,-0.183,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.587,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.003,0.022,0.996,0,-0.122,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.587,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.003,0.022,0.998,0,0,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.587,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.002,0.022,0.998,0,0,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.587,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.001,0.022,0.998,0,0.061,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.632,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0,0.022,0.996,0,0,0.183, , , , , , ,1.263,-0.088,-56.766
 13:49:03.632,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.001,0.021,0.996,0,0,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.632,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.002,0.022,0.996,-0.061,0,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.632,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.001,0.021,0.997,-0.061,0,0.061, , , , , , ,1.263,-0.088,-56.766
 13:49:03.632,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.001,0.021,0.997,0,0.061,0.122, , , , , , ,1.263,-0.088,-56.766
 13:49:03.632,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.001,0.022,0.997,0,0.061,0.183, , , , , , ,1.263,-0.088,-56.766
 13:49:03.632,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.001,0.021,0.997,0,0.061,0.183, , , , , , ,1.263,-0.088,-56.766
 13:49:03.632,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.002,0.021,0.999,0,0.061,0.183, , , , , , ,1.263,-0.088,-56.766
 13:49:03.653,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0.002,0.021,1,0.122,0.061,0.183, , , , , , ,1.263,-0.088,-56.766
 13:49:03.653,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0,0.021,0.998,0.183,0.183,0.244, , , , , , ,1.263,-0.088,-56.766
 13:49:03.654,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,-0.001,0.021,0.996,0.122,0.122,0.183, , , , , , ,1.263,-0.088,-56.766
 13:49:03.654,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0,0.021,0.995,0.183,0,0.244, , , , , , ,1.263,-0.088,-56.766
 13:49:03.654,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0,0.021,0.996,0.183,-0.061,0.305, , , , , , ,1.263,-0.088,-56.766
 13:49:03.654,eb:33:2e:f9:57:b5, 2015-01-01 00:13:13.555,0,0.021,0.996,0.183,-0.122,0.305, , , , , , ,1.263,-0.088,-56.766
